Data Through Date,Project ID,Interconnection Date,Utility,City/Town,County,ZIP Code,Division,Substation,Circuit ID,Storage Type,Developer,Metering Method,Energy Storage System Size (kWac),Georeference
12/31/2023,DGINT-13508,07/25/2023,O&R,WARWICK,Orange,10990,Central,Wisner,80-4-13,Battery,Sunrun Inc,NM,6,POINT (-74.358345 41.25477)
12/31/2023,PAM-2022-183594,07/26/2022,PSEGLI,SOUTHAMPTON,Suffolk,11968,,,9B915,Battery,SUNation Solar Systems Inc.,NM,10,POINT (-72.39259 40.889825)
12/31/2023,PAM-2022-256768,06/29/2023,PSEGLI,GLEN HEAD,Nassau,11545,,,4RH317,Battery,"Tesla, Inc.",NM,10,POINT (-73.62841 40.834085)
12/31/2023,396044,07/20/2022,National Grid,CRARYVILLE,Columbia,12521,033-Hudson,BLUE STORES 303,36_33_30353,Battery,Suncommon RBK - Residential (SunCommon),NM,10,POINT (-73.59207 42.14765)
12/31/2023,PAM-2022-238506,07/05/2023,PSEGLI,MATTITUCK,Suffolk,11952,,,8JA624,Battery,GreenLogic LLC,NM,13.6,POINT (-72.53855 40.991675)
12/31/2023,DGINT-13002,03/30/2023,O&R,POMONA,Rockland,10970,East,West Haverstraw,27-6-13,Battery,Other,NM,5,POINT (-74.0344298 41.1909524)
12/31/2023,319159,11/24/2020,National Grid,LOCKPORT,Niagara,14094,001 - Buffalo,BUFFALO STATION 232 - OAKWOOD DR,36_03_23253,Battery,Kyle Wojewoda (Buffalo Solar Solutions),NM,7.6,POINT (-78.69168 43.16942)
12/31/2023,CH-16446,04/18/2023,Central Hudson,Wawarsing,Ulster,12489,Kingston,Honk Falls,3071,Battery,"Tesla Energy Operations, Inc",NM,15.2,POINT (-74.35265502 41.74797)
12/31/2023,CH-13896,01/11/2022,Central Hudson,Campbell Hall,Orange,10916,Newburgh,Maybrook,5051,Battery,PlugPV LLC,NM,10,POINT (-74.2086416 41.4437932)
12/31/2023,SDG-31801,10/22/2021,Con Ed,Mohegan Lake,Westchester,10547,CENY-W,Buchanan,14U1,Battery,Sunrun Inc,NM,5,POINT (-73.857115 41.31801)
12/31/2023,PAM-2023-334342,08/31/2023,PSEGLI,LONG BCH,Nassau,11561,,,2A175,Battery,"EmPower CES, LLC",NM,10,POINT (-73.65149 40.58875)
12/31/2023,549254,09/13/2023,National Grid,NASSAU,Rensselaer,12123,030-Albany,NASSAU 113,36_30_11339,Battery,Jennifer Boots (Solar City DBA Tesla Energy),NM,10,POINT (-73.612965 42.516705)
12/31/2023,PAM-2022-212041,03/02/2023,PSEGLI,SELDEN,Suffolk,11784,,,8E494,Battery,"Sunrun, Inc.",NM,10,POINT (-73.0520165 40.8611746)
12/31/2023,SDG-36659,11/09/2022,Con Ed,Scarsdale,Westchester,10583,CENY-W,Harrison,17W31,Battery,SolarCity,NM,10,POINT (-73.80484 40.98258)
12/31/2023,PAM-2020-78669,10/12/2021,PSEGLI,Cutchogue,Suffolk,11935,,,8B952,Battery,Green Logic,NM,8,POINT (-72.487955 41.00805)
12/31/2023,PAM-2021-99934,07/16/2021,PSEGLI,BALDWIN,Nassau,11510,,,4.00E+285,Battery,"Sunrun, Inc.",NM,5,POINT (-73.610365 40.65627)
12/31/2023,PAM-2022-243152,10/12/2022,PSEGLI,E MEADOW,Nassau,11554,,,5M105,Battery,"Tesla, Inc.",NM,5,POINT (-73.54813 40.72094)
